unique_sale_id,date_id,item_code,quantity_sold,sale_unit_price,sale_unit_cost,total_line_amount,total_line_benefit,line_profit_margin
2025-01-09-200299,2025-01-09,200299,1,24,23.78,24,0.22,0.009166666667
2024-10-24-200299,2024-10-24,200299,1,24,23.78,24,0.22,0.009166666667
2024-12-19-200299,2024-12-19,200299,1,24,23.78,24,0.22,0.009166666667
2024-12-12-200299,2024-12-12,200299,1,24,23.78,24,0.22,0.009166666667
2024-11-04-200299,2024-11-04,200299,1,24,23.78,24,0.22,0.009166666667
2025-01-06-200299,2025-01-06,200299,2,24,23.78,48,0.44,0.009166666667
2024-10-07-200299,2024-10-07,200299,2,24,23.78,48,0.44,0.009166666667
2024-11-25-200096,2024-11-25,200096,1,67.5,66.79,67.5,0.71,0.010518518519
2024-12-19-200096,2024-12-19,200096,1,67.5,66.79,67.5,0.71,0.010518518519
2024-08-26-200422,2024-08-26,200422,1,63.75,63.07,63.75,0.68,0.010666666667
2024-09-05-200422,2024-09-05,200422,2,63.75,63.07,127.5,1.36,0.010666666667
2024-08-10-200453,2024-08-10,200453,1,31.5,31.14,31.5,0.36,0.011428571429
2025-04-03-200030,2025-04-03,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2025-01-13-200030,2025-01-13,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2025-08-04-200030,2025-08-04,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2024-12-30-200030,2024-12-30,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2025-07-31-200030,2025-07-31,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2024-09-12-200030,2024-09-12,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2024-11-28-200030,2024-11-28,200030,1,22.5,22.2,22.5,0.3,0.013333333333
2024-11-04-200030,2024-11-04,200030,2,22.5,22.2,45,0.6,0.013333333333
2024-09-19-200030,2024-09-19,200030,2,22.5,22.2,45,0.6,0.013333333333
2024-10-10-200030,2024-10-10,200030,2,22.5,22.2,45,0.6,0.013333333333
2024-08-12-200147,2024-08-12,200147,1,33.75,33.3,33.75,0.45,0.013333333333
2025-06-25-7501062912230,2025-06-25,7501062912230,1,375,369.76,375,5.24,0.013973333333
2025-05-05-600036,2025-05-05,600036,1,42,41.21,42,0.79,0.01880952381
2024-09-09-200440,2024-09-09,200440,1,65.25,64.01,65.25,1.24,0.019003831418
2025-06-05-200440,2025-06-05,200440,1,65.25,64.01,65.25,1.24,0.019003831418
2024-10-14-200440,2024-10-14,200440,1,65.25,64.01,65.25,1.24,0.019003831418
2024-11-21-200440,2024-11-21,200440,1,65.25,64.01,65.25,1.24,0.019003831418
